completed_at_utc,city,search_pages_fetched,listings_discovered,listings_new,total_known,apartments_exported,houses_exported,detail_pages_fetched,pages_served_from_cache,failed
2026-08-22T13:58:18.886721+00:00,vilnius,0,0,0,998,498,500,0,0,263
2026-08-22T18:46:01.629747+00:00,vilnius,0,0,0,998,498,500,14,1,52
2026-08-22T22:44:22.041905+00:00,vilnius,0,0,0,998,498,500,52,0,0
2026-08-23T20:54:06.650594+00:00,vilnius,0,0,0,3608,2825,783,450,14,0
2026-08-25T11:44:21.912675+00:00,vilnius,0,3608,0,3608,2825,783,0,147,0
2026-08-25T11:44:36.537790+00:00,vilnius,0,3608,0,3608,2825,783,0,147,0
2026-08-25T13:43:02.600875+00:00,vilnius,149,3717,331,3939,3105,834,2,0,0
2026-08-25T13:45:27.392270+00:00,vilnius,0,0,0,3939,3105,834,2,0,0
2026-08-25T15:23:19.968970+00:00,vilnius,0,0,0,3939,3105,834,154,1,0
2026-08-26T12:48:34.082039+00:00,vilnius,2,50,50,50,50,0,2,0,0
2026-08-26T15:07:17.979464+00:00,vilnius,65,1617,1568,1618,1524,94,2,0,0
2026-08-26T15:07:44.381870+00:00,vilnius,0,0,0,1618,1524,94,2,0,0
